Participant	Stimulus	StimType	StimNum	PostV	PostA	PreV	PreA	t	dt	p
P49	Neg4	Neg	4	3	4	13	7	292.816	123.848	1
P49	Pos4	Pos	4	7	3	3	4	400.796	107.98	1
P49	Neg5	Neg	5	5	5	7	3	538.896	138.1	1
P49	Neg1	Neg	1	14	5	5	5	662.408	123.512	1
P49	Pos3	Pos	3	5	4	14	5	817.88	155.472	1
P49	Pos2	Pos	2	5	5	5	4	948.524	130.644	1
P50	Pos2	Pos	2	8	4	8	4	143.892	143.892	1
P50	Neg1	Neg	1	8	5	8	4	264.668	120.776	1
P50	Neu1	Neu	1	8	1	8	5	359.212	94.544	1
P50	Neg4	Neg	4	10	5	8	1	476.836	117.624	5
P50	Neg5	Neg	5	8	5	10	5	615.972	139.136	1
P50	Pos4	Pos	4	10	4	8	5	723.232	107.26	1
P50	Pos3	Pos	3	10	5	10	4	873.328	150.096	1
P51	Pos2	Pos	2	14	5	8	5	218.108	218.108	2
P51	Pos3	Pos	3	11	5	14	5	486.52	268.412	2
P51	Neg1	Neg	1	8	4	11	5	691.08	204.56	1
P51	Neg4	Neg	4	4	4	8	4	910	218.92	2
P51	Pos4	Pos	4	14	5	4	4	1095.096	185.096	4
P51	Neg5	Neg	5	6	4	14	5	1308.948	213.852	5
P51	Neu1	Neu	1	11	1	6	4	1522.624	213.676	1
P52	Neg4	Neg	4	6	4	11	3	207.212	207.212	1
P52	Neg1	Neg	1	7	5	6	4	393.312	186.1	4
P52	Pos2	Pos	2	14	6	7	5	580.98	187.668	6
P52	Pos4	Pos	4	12	3	14	6	765.004	184.024	4
P52	Neg5	Neg	5	6	4	12	3	985.588	220.584	2
P52	Pos3	Pos	3	13	1	6	4	1240.528	254.94	4
P52	Neu1	Neu	1	6	3	13	1	1436.864	196.336	1
P53	Neu1	Neu	1	10	3	6	5	180.2	180.2	3
P53	Neg1	Neg	1	4	5	10	3	358.908	178.708	3
P53	Neg5	Neg	5	4	5	4	5	557.42	198.512	3
P53	Neg4	Neg	4	6	4	4	5	727.16	169.74	3
P53	Pos2	Pos	2	10	3	6	4	904.896	177.736	2
P53	Pos4	Pos	4	6	3	10	3	1079.288	174.392	3
P53	Pos3	Pos	3	10	3	6	3	1311.82	232.532	3
P54	Neg1	Neg	1	8	7	4	3	293.36	293.36	7
P54	Neu1	Neu	1	12	6	8	7	495.2622	201.9022	3
P54	Pos3	Pos	3	14	3	12	6	803.3902	308.128	1
P54	Pos2	Pos	2	14	3	14	3	962.6982	159.308	1
P54	Neg5	Neg	5	2	3	14	3	1221.478	258.78	1
P54	Neg4	Neg	4	6	3	2	3	1453.854	232.376	3
P54	Pos4	Pos	4	14	3	6	3	1722.170	268.316	1
P55	Pos3	Pos	3	12	4	8	5	249.744	249.744	1
