Participant	Stimulus	PostV	PostA	Part	Cont	Inte	Relv
41	Ne8	-2	3	1	1	3	3
41	Ne9	-2	4	1	1	2	1
42	Nt1	3	1	2	5	7	5
42	Po1	5	5	5	6	6	6
42	Po2	6	5	3	6	6	5
42	Po3	6	4	1	6	5	3
42	Po9	3	3	1	2	3	3
42	Ne4	-4	4	3	4	4	5
42	Ne6	3	3	1	4	4	1
42	Ne7	-4	4	1	1	3	1
42	Ne8	4	5	1	1	4	1
42	Ne9	2	4	1	1	1	1
43	Nt1	5	1	7	6	7	6
43	Po1	5	1	7	7	7	7
43	Po2	2	3	4	3	4	4
43	Po3	2	3	4	4	5	4
43	Po9	2	1	6	6	6	7
43	Ne4	6	3	7	7	7	7
43	Ne6	-1	2	5	4	3	5
43	Ne7	1	4	4	5	4	4
43	Ne8	1	4	4	4	4	5
43	Ne9	3	3	4	4	3	3
44	Nt1	0	2	1	1	1	1
44	Po1	6	5	6	7	6	6
44	Po2	4	3	2	2	3	2
44	Po3	2	2	1	1	1	2
44	Po9	6	6	4	5	5	6
44	Ne4	-6	6	5	6	7	1
44	Ne6	-3	4	1	1	2	2
44	Ne7	-5	6	3	6	6	1
44	Ne8	-3	4	1	3	5	2
44	Ne9	-4	6	2	3	5	2
45	Nt1	3	5	3	7	7	6
45	Po1	0	5	1	5	6	5
45	Po2	0	1	1	1	1	1
45	Po3	0	1	1	1	3	1
45	Po9	4	1	4	1	3	6
45	Ne4	2	5	5	5	5	5
45	Ne6	-2	1	1	1	1	1
45	Ne7	0	1	1	1	2	4
45	Ne8	0	1	1	1	1	1
45	Ne9	-3	1	1	1	1	1
46	Nt1	5	4	6	7	7	7
46	Po1	4	4	4	6	7	5
46	Po2	-2	4	1	1	1	1
46	Po3	-3	4	1	1	1	1
46	Po9	0	4	1	1	1	1
46	Ne4	-3	5	6	3	3	5
46	Ne6	0	4	4	3	3	4
46	Ne7	0	4	4	4	3	2
46	Ne8	-2	3	4	5	5	5
46	Ne9	-3	4	1	1	1	1
47	Nt1	4	1	1	2	1	5
47	Po1	6	6	5	6	7	2
47	Po2	0	4	1	1	4	2
47	Po3	3	3	1	3	3	3
47	Po9	0	1	1	1	1	6
47	Ne4	-4	5	1	1	4	4
47	Ne6	-4	4	1	1	4	2
47	Ne7	-5	4	1	1	5	2
47	Ne8	5	7	1	1	7	7
47	Ne9	-6	5	1	1	2	5
48	Nt1	4	1	1	4	5	4
48	Po1	3	2	1	3	4	6
48	Po2	-3	5	1	4	5	4
48	Po3	5	5	1	5	5	6
48	Po9	4	5	5	4	6	7
48	Ne4	-4	2	6	5	4	4
48	Ne6	-3	3	1	5	5	3
48	Ne7	3	3	1	3	5	4
48	Ne8	-2	5	4	5	5	5
48	Ne9	-2	1	1	1	1	1
49	Nt1	4	1	5	6	6	7
49	Po1	3	5	3	4	3	2
49	Po2	4	6	2	7	7	2
49	Po3	5	6	3	6	7	3
49	Po9	1	3	2	2	4	2
49	Ne4	-5	5	1	1	3	1
49	Ne6	-2	5	1	2	3	1
49	Ne7	-6	6	1	1	4	1
49	Ne8	-1	3	1	1	2	1
49	Ne9	-3	4	1	2	5	1
50	Nt2	0	4	1	1	1	1
50	Po4	0	4	3	3	4	4
50	Po5	4	4	5	3	4	4
50	Po6	0	3	1	1	3	1
50	Po7	6	1	5	6	6	4
50	Po8	5	5	6	3	4	5
50	Ne1	-2	4	6	6	6	4
50	Ne2	-3	4	1	4	4	1
50	Ne3	-2	5	2	4	5	4
50	Ne5	-5	6	5	5	6	1
51	Nt2	-1	5	6	5	7	6
51	Po4	6	1	1	6	6	1
51	Po5	4	1	1	2	1	2
51	Po6	1	2	1	1	1	1
51	Po7	6	1	1	2	2	2
51	Po8	4	2	1	1	2	3
51	Ne1	-6	7	7	5	7	3
51	Ne2	-1	5	7	7	6	7
51	Ne3	-5	6	6	7	6	6
51	Ne5	-4	5	7	7	5	7
52	Nt2	0	1	1	1	2	1
52	Po4	0	2	1	2	3	2
52	Po5	5	4	3	6	7	3
52	Po6	3	2	2	3	4	3
52	Po7	-1	3	3	4	4	3
52	Po8	3	2	3	5	5	3
52	Ne1	-4	4	2	3	4	4
52	Ne2	0	2	1	1	2	1
52	Ne3	-2	3	1	2	2	1
52	Ne5	-3	2	1	1	3	1
53	Nt2	0	4	2	3	2	1
53	Po4	4	2	3	6	6	1
53	Po5	2	4	2	4	4	4
53	Po6	1	4	3	3	4	2
53	Po7	3	4	2	5	5	5
53	Po8	2	4	3	3	4	3
53	Ne1	0	5	5	5	6	4
53	Ne2	-2	4	3	2	3	3
53	Ne3	-1	4	1	1	3	1
53	Ne5	-5	5	5	2	5	5
54	Nt2	-1	2	1	1	1	1
54	Po4	0	3	2	4	4	4
54	Po5	0	3	1	2	3	3
54	Po6	2	4	3	2	5	4
54	Po7	3	4	3	4	5	5
54	Po8	2	5	2	4	5	5
54	Ne1	-2	5	5	2	5	5
54	Ne2	0	4	1	1	1	1
54	Ne3	-2	4	1	1	2	3
54	Ne5	-4	5	5	2	6	4
55	Nt2	2	2	2	2	2	2
55	Po4	6	6	2	6	6	1
55	Po5	4	5	4	5	6	4
55	Po6	6	6	7	7	7	3
55	Po7	5	5	4	5	7	3
55	Po8	5	4	3	5	5	3
55	Ne1	6	7	4	6	7	4
55	Ne2	5	6	5	7	7	1
55	Ne3	4	3	2	4	4	2
55	Ne5	4	7	7	7	7	2
56	Nt2	2	2	1	1	1	1
56	Po4	2	2	1	2	3	1
56	Po5	2	3	2	2	2	2
56	Po6	2	2	1	1	2	1
56	Po7	2	2	1	1	1	1
56	Po8	3	3	1	4	5	1
56	Ne1	2	2	1	3	4	2
56	Ne2	2	2	1	1	3	1
56	Ne3	3	2	1	1	2	1
56	Ne5	0	2	1	2	3	1
57	Nt2	0	3	2	2	3	2
57	Po4	6	5	4	5	5	4
57	Po5	3	4	3	4	2	5
57	Po6	-2	4	2	3	3	5
57	Po7	3	4	3	4	4	5
57	Po8	1	2	4	4	2	5
57	Ne1	-2	4	5	5	5	4
57	Ne2	-1	4	3	5	5	4
57	Ne3	-2	4	3	3	4	3
57	Ne5	-4	5	2	2	4	1
58	Nt2	2	3	1	1	1	1
58	Po4	5	5	5	5	6	3
58	Po5	5	2	3	5	5	5
58	Po6	6	4	5	5	6	5
58	Po7	6	5	6	6	6	5
58	Po8	6	4	2	4	5	5
58	Ne1	-2	6	5	6	6	4
58	Ne2	-1	4	1	1	1	1
58	Ne3	-1	3	4	2	4	2
58	Ne5	-5	4	2	3	4	2
59	Nt2	0	1	1	1	1	1
59	Po4	5	5	5	7	6	2
59	Po5	0	1	1	1	2	5
59	Po6	0	5	7	6	5	4
59	Po7	6	5	1	7	7	5
59	Po8	0	1	1	1	2	5
59	Ne1	-4	3	7	5	6	4
59	Ne2	0	5	7	6	5	2
59	Ne3	0	3	1	1	4	1
59	Ne5	-6	3	6	3	5	1
60	Nt2	0	4	1	1	1	1
60	Po4	0	4	2	2	3	2
60	Po5	3	5	3	4	4	4
60	Po6	1	4	3	3	5	4
60	Po7	3	4	3	4	5	5
60	Po8	0	4	2	3	3	3
60	Ne1	-1	4	1	2	3	2
60	Ne2	-3	5	2	3	3	3
60	Ne3	-2	3	2	3	4	3
60	Ne5	-3	4	2	2	4	2
61	Nt2	-4	1	1	1	1	1
61	Po4	0	4	2	2	4	2
61	Po5	4	5	2	4	5	2
61	Po6	4	4	6	6	6	6
61	Po7	3	5	3	5	5	4
61	Po8	4	4	2	5	5	2
61	Ne1	-2	5	2	3	5	3
61	Ne2	-1	3	2	2	3	2
61	Ne3	-3	5	2	5	4	3
61	Ne5	-3	4	1	1	4	2
62	Nt2	1	4	1	3	4	3
62	Po4	1	5	1	1	5	1
62	Po5	1	5	1	3	5	4
62	Po6	1	4	1	1	2	1
62	Po7	1	3	1	2	4	2
62	Po8	1	5	1	3	4	2
62	Ne1	-2	5	1	3	5	2
62	Ne2	0	4	1	2	2	4
62	Ne3	1	4	1	3	3	3
62	Ne5	0	5	2	5	4	2
63	Nt2	0	1	1	1	1	2
63	Po4	6	3	3	6	5	4
63	Po5	5	2	5	5	5	6
63	Po6	1	2	4	1	2	1
63	Po7	5	5	4	6	6	6
63	Po8	2	2	3	3	2	5
63	Ne1	-4	5	6	5	6	5
63	Ne2	-2	2	1	2	3	1
63	Ne3	-4	4	5	4	5	5
63	Ne5	-6	2	3	1	3	1
64	Nt2	3	4	5	5	5	2
64	Po4	3	5	5	6	5	5
64	Po5	1	4	3	1	2	5
64	Po6	-1	3	6	2	3	4
64	Po7	1	4	4	3	3	6
64	Po8	0	5	4	2	4	6
64	Ne1	3	6	7	6	6	4
64	Ne2	-2	5	6	5	4	6
64	Ne3	3	5	6	6	5	2
64	Ne5	1	5	5	5	5	2
65	Nt2	2	4	1	1	2	1
65	Po4	6	1	7	7	7	4
65	Po5	5	5	1	6	7	2
65	Po6	6	6	5	7	7	6
65	Po7	6	6	5	7	7	7
65	Po8	5	1	2	6	6	2
65	Ne1	-6	6	1	1	1	1
65	Ne2	-2	5	3	7	6	3
65	Ne3	-4	5	2	2	4	4
65	Ne5	-6	6	7	6	7	5
66	Nt2	3	1	2	2	3	3
66	Po4	5	7	2	7	7	6
66	Po5	5	3	3	5	6	5
66	Po6	4	6	2	6	6	6
66	Po7	5	6	2	6	6	7
66	Po8	6	7	2	6	7	6
66	Ne1	-5	6	1	1	5	3
66	Ne2	-3	5	2	2	5	3
66	Ne3	0	2	2	2	2	2
66	Ne5	-3	6	6	7	5	3
67	Nt2	3	2	2	5	5	5
67	Po4	-1	2	1	1	2	1
67	Po5	-1	3	2	3	2	2
67	Po6	2	4	2	5	4	3
67	Po7	0	3	2	4	4	3
67	Po8	-4	5	1	1	1	1
67	Ne1	0	5	1	4	5	2
67	Ne2	-1	2	1	2	2	1
67	Ne3	-1	5	2	6	5	3
67	Ne5	-5	5	1	2	3	1
68	Nt2	4	1	1	4	4	2
68	Po4	6	2	2	2	4	3
68	Po5	6	3	3	4	6	5
68	Po6	5	6	6	6	6	6
68	Po7	6	3	5	7	6	6
68	Po8	6	6	5	7	7	6
68	Ne1	2	6	7	7	6	5
68	Ne2	-1	1	1	1	1	1
68	Ne3	-2	3	2	1	3	2
68	Ne5	0	3	7	7	6	6
69	Nt2	2	5	2	2	5	5
69	Po4	3	5	2	5	6	3
69	Po5	3	3	3	5	6	3
69	Po6	2	4	1	3	5	4
69	Po7	1	5	2	3	3	3
69	Po8	3	5	2	4	6	2
69	Ne1	-4	5	4	2	5	2
69	Ne2	-1	5	6	3	6	7
69	Ne3	-5	5	2	3	5	3
69	Ne5	-4	5	1	2	5	1
70	Nt2	-1	3	1	2	3	2
70	Po4	-1	2	1	3	3	1
70	Po5	-3	3	1	1	2	3
70	Po6	4	2	1	4	5	4
70	Po7	-1	3	3	3	4	4
70	Po8	0	4	1	1	3	4
70	Ne1	-4	5	4	4	5	4
70	Ne2	-3	3	1	3	4	4
70	Ne3	2	2	4	3	3	1
70	Ne5	-3	3	1	2	2	3
71	Nt2	3	2	1	2	4	4
71	Po4	0	1	1	1	2	1
71	Po5	1	1	1	1	1	3
71	Po6	1	1	1	1	1	1
71	Po7	1	2	1	1	2	1
71	Po8	0	2	1	1	1	1
